Tweet,Account Name,Profile,Created At
"SNSマーケの知識かマーケティング、ローンチ概念の理解が基礎程度でもある人はうちに今すぐ来い。

内容は面接で説明するが半年あれば月300万は割と現実ラインで達成可能。

全て業務委託契約で利益の%渡し。

とんでもないぐらい条件の良い給料と仕事内容。聞いたらビビると思う。",ABC1236789_,元スカウト⇨10ヶ月で月収500万(最高元金900万)⇨その後すぐに店舗経営⇨スカウトと店舗経営で月収1000万超え⇨スカウト2年と9ヶ月目で夜職完全引退⇨現在はSNSマーケや会社3社経営⇨3年以内に年商100億目指してます。スカウト引退後のセカンドキャリアなどの情報発信。マネタイズは一切しません。,2025-04-20T05:30:51.000Z
東大出身マーケターを業務委託で採用したい方いますか？ベンチャー/中小/上場企業のマーケ戦略〜施策実行が得意でエンジニアの知見も豊富。モビリティ系ベンチャーで前年同月比150%成長の実績。Webマーケをまるっとお任せできる超おすすめ人材！興味ある方リプライ下さい,seoamigo,"18歳で起業,212名の（株）ウィルゲートを経営/買収4回売却2回M&Aを経験。5年でベンチャーやITのM&A仲介73組。Google【SEO対策】1位/経営者のFacebookとXが検索できるDB【アポトル】が絶好調/ソーシャルセリングで毎月200アポ獲得/38歳/岡山朝日→慶應経済/仕事のご相談は気軽に📩下さい",2025-04-18T09:00:02.000Z
"5年くらい前に30代半ば未経験からLINEマーケでフリーとしての活動を始めて、紆余曲折したけど今の業務委託で仕事安定してもらうスタイルが自分には1番合ってた🍝

年収500万とかそこそこの収入を、そこそこな労力で安定させたい人はこの働き方が合ってるかも。",tomohirotomtom,最強の公式LINEマーケター麺類。無料であなただけのデモアカウントを創ります🍝 気軽にDMください。サービス資料：https://t.co/odwGU8bnYJ,2025-04-24T08:20:22.000Z
"🚀 最近の活動まとめ
フリーランス独立後も少しずつ積み上げています。

✅オリジナルWPテーマ開発
✅LP制作
✅業務委託契約 / 定期受注
✅提携先ルールに沿ったコーディング対応
✅GitHubでのチーム開発
✅IT導入補助金申請サポート：7件対応済
✅Webマーケ勉強会・実践も継続中📈",Matsutake_prgrm,Web制作フリーランス｜コーディング代行｜自衛隊7年勤務→Web業界に転身｜ デイトラ｜ノマドニア🇬🇪｜空き状況：5月△、6月○｜ご依頼受付中です！ ✉️matsutake@mt-tk.com,2025-04-23T13:08:36.000Z
東大出身マーケターを業務委託で採用したい方いますか？ベンチャー/中小/上場企業のマーケ戦略〜施策実行が得意でエンジニアの知見も豊富。モビリティ系ベンチャーで前年同月比150%成長の実績。Webマーケをまるっとお任せできる超おすすめ人材！興味ある方リプライ下さい,kojima_riki_,https://t.co/KdY8zuQHNRの代表取締役/19期目/営業支援、セミナー支援、M&A/ベンチャーの負を解消しステークホルダーのwillを実現したい/経営者/岡山出身/38歳/慶應経済/18歳で起業→22歳で借金1億円→逆境を乗り越え212名の組織を経営/事業拡大に伴い多くのポジションで募集中。DMお気軽に♪,2025-04-23T03:00:02.000Z
"2025.4.22

今日やったこと
✅マーケMTG
✅Figma to Bolt
✅SHOPLINEコーディング
✅動画編集
✅いけゆさん滞在自習室

マーケMTGにて、ビシバシ指導いただく。業務委託でここまで指導いただけるのは、本当にありがたい✨ただめっちゃ難しい😅",nishin8080,札幌在住 | Shopifyパートナー | Webコーダー | Webマーケティング | SHOPLINE | デイトラ | Web制作 | 営業支援3期 | リベシティ | 宅建士 |,2025-04-22T15:07:46.000Z
大学週3で通いながら、ない日は保育士の勉強独学でして、夜はバイトして、毎日音楽プロモートして、業務委託でSNSマーケもやってんの普通にやばいしそれで生きていけてるの奇跡かも,Cybercat_87,ニャ（オタクニート）の部分,2025-04-22T05:19:28.000Z
"今日から新しい業務委託のお仕事がスタート！
マーケ系のオンラインアシスタントとして、企業のWEBコンテンツ運用に関わります☺️
ツールの多さに驚きつつ、全部使いこなせたら強みがぐんと増えそう…👀
#リモラボ の学びも活かして、しっかり貢献できるようにがんばります🔥",inst_umi_,発信が苦手なサロンオーナーさん向け🌿集客につながるインスタ運用をサポートしてます🌿元エステサロンコンサルト,2025-04-21T14:25:16.000Z
"SNSマーケの知識かマーケティング、ローンチ概念の理解が基礎程度でもある人はうちに今すぐ来い。

内容は面接で説明するが半年あれば月300万は割と現実ラインで達成可能。

全て業務委託契約で利益の%渡し。

とんでもないぐらい条件の良い給料と仕事内容。聞いたらビビると思う。",ABC1236789_,元スカウト⇨10ヶ月で月収500万(最高元金900万)⇨その後すぐに店舗経営⇨スカウトと店舗経営で月収1000万超え⇨スカウト2年と9ヶ月目で夜職完全引退⇨現在はSNSマーケや会社3社経営⇨3年以内に年商100億目指してます。スカウト引退後のセカンドキャリアなどの情報発信。マネタイズは一切しません。,2025-04-20T05:30:51.000Z
東大出身マーケターを業務委託で採用したい方いますか？ベンチャー/中小/上場企業のマーケ戦略〜施策実行が得意でエンジニアの知見も豊富。モビリティ系ベンチャーで前年同月比150%成長の実績。Webマーケをまるっとお任せできる超おすすめ人材！興味ある方リプライ下さい,seoamigo,"18歳で起業,212名の（株）ウィルゲートを経営/買収4回売却2回M&Aを経験。5年でベンチャーやITのM&A仲介73組。Google【SEO対策】1位/経営者のFacebookとXが検索できるDB【アポトル】が絶好調/ソーシャルセリングで毎月200アポ獲得/38歳/岡山朝日→慶應経済/仕事のご相談は気軽に📩下さい",2025-04-18T09:00:02.000Z
